id,title,description,category,subcategory,location,severity,source,source_id,start_time,end_time,created_at,is_active
1765379215128,"Significant flooding reported after heavy rainfall in Jeddah, Saudi Arabia","Jeddah, Saudi Arabia has experienced heavy rainfall that has led to significant flooding and traffic congestion across the city. MORE..",weather,rainfall_alerts,Sri Lanka,medium,news,news_1765379215,2025-12-10T20:36:55.128570,2025-12-11T20:36:55.128573,2025-12-10T20:36:55.128632,True
1765379215130,Homeowners in landslide-prone areas provided with reports on risk level: NBRO,The National Building Research Organisation (NBRO) has extended landslide warnings issued to several areas based on current ground conditions and weather forecasts. MORE..,weather,landslides,Sri Lanka,medium,news,news_1765379215,2025-12-10T20:36:55.130529,2025-12-11T20:36:55.130532,2025-12-10T20:36:55.130587,True
1765379215133,H-1B visa appointments postponed for many Indians amid US Social Media rules,The US State Departments new social media vetting policy has triggered massive disruptions for H-1B visa applicants in India as many appointments have been postponed to next year. The US Embassy in India issued an advisory to the visa applicants on Tuesday night. MORE..,government,government_general,Sri Lanka,medium,news,news_1765379215,2025-12-10T20:36:55.133781,2025-12-11T20:36:55.133788,2025-12-10T20:36:55.133879,True
1765379471163,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765379215125,2025-12-10T20:41:11.163131,2025-12-11T20:41:11.163143,2025-12-10T20:41:11.163274,True
1765379471224,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765379215123,2025-12-10T20:41:11.224676,2025-12-11T20:41:11.224692,2025-12-10T20:41:11.224901,True
1765379471282,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765379215120,2025-12-10T20:41:11.282564,2025-12-11T20:41:11.282579,2025-12-10T20:41:11.282821,True
1765379471332,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765378951193,2025-12-10T20:41:11.332159,2025-12-11T20:41:11.332169,2025-12-10T20:41:11.332292,True
1765379471378,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765378951189,2025-12-10T20:41:11.378122,2025-12-11T20:41:11.378133,2025-12-10T20:41:11.378263,True
1765379471438,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765378951187,2025-12-10T20:41:11.438929,2025-12-11T20:41:11.438938,2025-12-10T20:41:11.439060,True
1765379537029,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765379537,2025-12-10T20:42:17.029209,2025-12-11T20:42:17.029222,2025-12-10T20:42:17.029395,True
1765379537035,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765379537,2025-12-10T20:42:17.035568,2025-12-11T20:42:17.035578,2025-12-10T20:42:17.035722,True
1765379537041,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765379537,2025-12-10T20:42:17.041491,2025-12-11T20:42:17.041504,2025-12-10T20:42:17.041661,True
1765379537045,"Significant flooding reported after heavy rainfall in Jeddah, Saudi Arabia","Jeddah, Saudi Arabia has experienced heavy rainfall that has led to significant flooding and traffic congestion across the city. MORE..",weather,rainfall_alerts,Sri Lanka,medium,news,news_1765379537,2025-12-10T20:42:17.045427,2025-12-11T20:42:17.045440,2025-12-10T20:42:17.045583,True
1765379537050,Homeowners in landslide-prone areas provided with reports on risk level: NBRO,The National Building Research Organisation (NBRO) has extended landslide warnings issued to several areas based on current ground conditions and weather forecasts. MORE..,weather,landslides,Sri Lanka,medium,news,news_1765379537,2025-12-10T20:42:17.050064,2025-12-11T20:42:17.050074,2025-12-10T20:42:17.050216,True
1765379537057,H-1B visa appointments postponed for many Indians amid US Social Media rules,The US State Departments new social media vetting policy has triggered massive disruptions for H-1B visa applicants in India as many appointments have been postponed to next year. The US Embassy in India issued an advisory to the visa applicants on Tuesday night. MORE..,government,government_general,Sri Lanka,medium,news,news_1765379537,2025-12-10T20:42:17.057590,2025-12-11T20:42:17.057599,2025-12-10T20:42:17.057726,True
1765379861974,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765379861,2025-12-10T20:47:41.974112,2025-12-11T20:47:41.974124,2025-12-10T20:47:41.974312,True
1765379861980,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765379861,2025-12-10T20:47:41.980079,2025-12-11T20:47:41.980091,2025-12-10T20:47:41.980263,True
1765379861985,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765379861,2025-12-10T20:47:41.985302,2025-12-11T20:47:41.985310,2025-12-10T20:47:41.985436,True
1765379861991,"Significant flooding reported after heavy rainfall in Jeddah, Saudi Arabia","Jeddah, Saudi Arabia has experienced heavy rainfall that has led to significant flooding and traffic congestion across the city. MORE..",weather,rainfall_alerts,Sri Lanka,medium,news,news_1765379861,2025-12-10T20:47:41.991431,2025-12-11T20:47:41.991501,2025-12-10T20:47:41.992153,True
1765379861999,Homeowners in landslide-prone areas provided with reports on risk level: NBRO,The National Building Research Organisation (NBRO) has extended landslide warnings issued to several areas based on current ground conditions and weather forecasts. MORE..,weather,landslides,Sri Lanka,medium,news,news_1765379861,2025-12-10T20:47:41.999628,2025-12-11T20:47:41.999691,2025-12-10T20:47:42.000054,True
1765379862007,H-1B visa appointments postponed for many Indians amid US Social Media rules,The US State Departments new social media vetting policy has triggered massive disruptions for H-1B visa applicants in India as many appointments have been postponed to next year. The US Embassy in India issued an advisory to the visa applicants on Tuesday night. MORE..,government,government_general,Sri Lanka,medium,news,news_1765379862,2025-12-10T20:47:42.007646,2025-12-11T20:47:42.007655,2025-12-10T20:47:42.007793,True
1765380070755,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765379861984,2025-12-10T20:51:10.755202,2025-12-11T20:51:10.755212,2025-12-10T20:51:10.755327,True
1765380070794,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765379861978,2025-12-10T20:51:10.794612,2025-12-11T20:51:10.794617,2025-12-10T20:51:10.794673,True
1765380070831,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765379861971,2025-12-10T20:51:10.831275,2025-12-11T20:51:10.831279,2025-12-10T20:51:10.831339,True
1765380070867,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765379537039,2025-12-10T20:51:10.867339,2025-12-11T20:51:10.867344,2025-12-10T20:51:10.867402,True
1765380070901,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765379537034,2025-12-10T20:51:10.901092,2025-12-11T20:51:10.901096,2025-12-10T20:51:10.901159,True
1765380070938,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765379537027,2025-12-10T20:51:10.938532,2025-12-11T20:51:10.938540,2025-12-10T20:51:10.938644,True
1765380216209,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765380216,2025-12-10T20:53:36.209682,2025-12-11T20:53:36.209716,2025-12-10T20:53:36.210273,True
1765380216217,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765380216,2025-12-10T20:53:36.217409,2025-12-11T20:53:36.217455,2025-12-10T20:53:36.218081,True
1765380216227,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765380216,2025-12-10T20:53:36.226986,2025-12-11T20:53:36.226991,2025-12-10T20:53:36.227085,True
1765380216232,"Significant flooding reported after heavy rainfall in Jeddah, Saudi Arabia","Jeddah, Saudi Arabia has experienced heavy rainfall that has led to significant flooding and traffic congestion across the city. MORE..",weather,rainfall_alerts,Sri Lanka,medium,news,news_1765380216,2025-12-10T20:53:36.232929,2025-12-11T20:53:36.232935,2025-12-10T20:53:36.233024,True
1765380216235,Homeowners in landslide-prone areas provided with reports on risk level: NBRO,The National Building Research Organisation (NBRO) has extended landslide warnings issued to several areas based on current ground conditions and weather forecasts. MORE..,weather,landslides,Sri Lanka,medium,news,news_1765380216,2025-12-10T20:53:36.235917,2025-12-11T20:53:36.235923,2025-12-10T20:53:36.236002,True
1765380216239,H-1B visa appointments postponed for many Indians amid US Social Media rules,The US State Departments new social media vetting policy has triggered massive disruptions for H-1B visa applicants in India as many appointments have been postponed to next year. The US Embassy in India issued an advisory to the visa applicants on Tuesday night. MORE..,government,government_general,Sri Lanka,medium,news,news_1765380216,2025-12-10T20:53:36.239852,2025-12-11T20:53:36.239859,2025-12-10T20:53:36.239967,True
1765380449756,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765380449,2025-12-10T20:57:29.756202,2025-12-11T20:57:29.756225,2025-12-10T20:57:29.756632,True
1765380449769,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765380449,2025-12-10T20:57:29.769175,2025-12-11T20:57:29.769198,2025-12-10T20:57:29.769554,True
1765380449781,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765380449,2025-12-10T20:57:29.781859,2025-12-11T20:57:29.781884,2025-12-10T20:57:29.783215,True
1765380449794,"Significant flooding reported after heavy rainfall in Jeddah, Saudi Arabia","Jeddah, Saudi Arabia has experienced heavy rainfall that has led to significant flooding and traffic congestion across the city. MORE..",weather,rainfall_alerts,Sri Lanka,medium,news,news_1765380449,2025-12-10T20:57:29.794079,2025-12-11T20:57:29.794090,2025-12-10T20:57:29.794293,True
1765380449806,Homeowners in landslide-prone areas provided with reports on risk level: NBRO,The National Building Research Organisation (NBRO) has extended landslide warnings issued to several areas based on current ground conditions and weather forecasts. MORE..,weather,landslides,Sri Lanka,medium,news,news_1765380449,2025-12-10T20:57:29.805981,2025-12-11T20:57:29.805999,2025-12-10T20:57:29.806138,True
1765380449822,H-1B visa appointments postponed for many Indians amid US Social Media rules,The US State Departments new social media vetting policy has triggered massive disruptions for H-1B visa applicants in India as many appointments have been postponed to next year. The US Embassy in India issued an advisory to the visa applicants on Tuesday night. MORE..,government,government_general,Sri Lanka,medium,news,news_1765380449,2025-12-10T20:57:29.821949,2025-12-11T20:57:29.821969,2025-12-10T20:57:29.822483,True
1765380760513,Notice on reopening preschools and early childhood development centers,All preschools and early childhood development centers that were closed due to the emergency disaster situation and are now deemed safe to resume operations will be reopened from 16 December 2025. MORE..,safety,rescue_operations,Sri Lanka,high,news,news_1765380760,2025-12-10T21:02:40.513337,2025-12-11T21:02:40.513343,2025-12-10T21:02:40.513452,True
1765380760517,Australia and UNFPA partner to protect women and girls in cyclone-affected Sri Lanka,"Australia and the United Nations Population Fund (UNFPA) have partnered to deliver urgent humanitarian assistance to protect women and girls across Sri Lanka, affected by catastrophic floods and landslides triggered by Cyclone Ditwah, one of the most devastating climate-related disasters to strike the island nation in recent years. MORE..",weather,floods,Sri Lanka,high,news,news_1765380760,2025-12-10T21:02:40.517115,2025-12-11T21:02:40.517123,2025-12-10T21:02:40.517215,True
1765380760523,UAE continues to send aid to assist flood-hit Sri Lanka,The UAEs eight humanitarian aid aircraft has arrived in Sri Lanka on Tuesday in efforts to support the country following deadly floods and landslides. MORE..,weather,floods,Sri Lanka,high,news,news_1765380760,2025-12-10T21:02:40.523089,2025-12-11T21:02:40.523097,2025-12-10T21:02:40.523184,True
